# MIME table updated from IANA application.csv on 2026-05-01
# Format: <mime-type><TAB><space-separated-extensions>

application/1d-interleaved-parityfec	1d-interleaved-parityfec
application/vnd.3gpp.seal-mbms-usage-info+xml	vnd.3gpp.seal-mbms-usage-info+xml
application/vnd.3gpp.seal-mbs-usage-info+xml	vnd.3gpp.seal-mbs-usage-info+xml
application/vnd.3gpp.seal-network-QoS-management-info+xml	vnd.3gpp.seal-network-qos-management-info+xml
application/vnd.3gpp.seal-network-resource-info+cbor	vnd.3gpp.seal-network-resource-info+cbor
application/vnd.3gpp.seal-ue-config-info+xml	vnd.3gpp.seal-ue-config-info+xml
application/vnd.3gpp.seal-unicast-info+xml	vnd.3gpp.seal-unicast-info+xml
application/vnd.3gpp.seal-user-profile-info+xml	vnd.3gpp.seal-user-profile-info+xml
application/vnd.3gpp.sms	vnd.3gpp.sms
application/vnd.3gpp.sms+xml	vnd.3gpp.sms+xml
application/vnd.3gpp.srvcc-ext+xml	vnd.3gpp.srvcc-ext+xml
application/vnd.3gpp.SRVCC-info+xml	vnd.3gpp.srvcc-info+xml
application/vnd.3gpp.state-and-event-info+xml	vnd.3gpp.state-and-event-info+xml
application/vnd.3gpp.ussd+xml	vnd.3gpp.ussd+xml
application/vnd.3gpp.v2x	vnd.3gpp.v2x
application/vnd.3gpp.vae-info+xml	vnd.3gpp.vae-info+xml
application/vnd.3gpp2.bcmcsinfo+xml	vnd.3gpp2.bcmcsinfo+xml
application/vnd.3gpp2.sms	vnd.3gpp2.sms
application/vnd.3gpp2.tcap	tcap
application/vnd.3lightssoftware.imagescal	vnd.3lightssoftware.imagescal
application/vnd.3M.Post-it-Notes	pwn
application/vnd.accpac.simply.aso	aso
application/vnd.accpac.simply.imp	imp
application/vnd.acm.addressxfer+json	vnd.acm.addressxfer+json
application/vnd.acm.chatbot+json	vnd.acm.chatbot+json
application/vnd.acucobol	acu
application/vnd.acucorp	atc acutc
application/vnd.adobe.flash.movie	vnd.adobe.flash.movie
application/vnd.adobe.formscentral.fcdt	fcdt
application/vnd.adobe.fxp	fxp fxpl
application/vnd.adobe.partial-upload	vnd.adobe.partial-upload
application/vnd.adobe.xdp+xml	xdp
